Q,C,C /  ΔQ,ΔQ,ΔC,ΔC / ΔQ
Quantity,Cost,Avg Wing Cost,Change in Wing Amount,Increase in Cost,Avg Cost Increase
4,455,113.75,,,
5,570,114,1,115,115
6,680,113.33333,1,110,110
7,795,113.57143,1,115,115
8,910,113.75,1,115,115
9,1020,113.33333,1,110,110
10,1135,113.5,1,115,115
11,1250,113.63636,1,115,115
12,1360,113.33333,1,110,110
13,1475,113.46154,1,115,115
14,1590,113.57143,1,115,115
15,1700,113.33333,1,110,110
16,1815,113.4375,1,115,115
17,1930,113.52941,1,115,115
18,2040,113.33333,1,110,110
19,2155,113.42105,1,115,115
20,2270,113.5,1,115,115
21,2380,113.33333,1,110,110
22,2495,113.40909,1,115,115
23,2610,113.47826,1,115,115
24,2725,113.54167,1,115,115
25,2780,111.2,1,55,55
26,2895,111.34615,1,115,115
27,3010,111.48148,1,115,115
28,3120,111.42857,1,110,110
29,3235,111.55172,1,115,115
30,3350,111.66667,1,115,115
35,3915,111.85714,5,565,113
40,4480,112,5,565,113
45,5050,112.22222,5,570,114
50,5560,111.2,5,510,102
60,6700,111.66667,10,1140,114
70,7830,111.85714,10,1130,113
75,8345,111.26667,5,515,103
80,8910,111.375,5,565,113
90,10045,111.61111,10,1135,113.5
100,11125,111.25,10,1080,108
125,13900,111.2,25,2775,111
150,16685,111.23333,25,2785,111.4
200,22250,111.25,50,5565,111.3